date,pm25,month
2022-04-22,135.0,4
2022-04-23,115.0,4
2022-04-24,106.0,4
2022-04-25,115.0,4
2022-04-26,81.0,4
2022-04-27,66.0,4
2022-04-28,56.0,4
2022-04-29,51.0,4
2022-04-30,98.0,4
2022-05-01,101.0,5
2022-05-02,103.0,5
2022-05-03,71.0,5
2022-05-04,89.0,5
2022-05-05,74.0,5
2022-05-06,65.0,5
2022-05-07,104.0,5
2022-05-08,76.0,5
2022-05-09,90.0,5
2022-05-10,103.0,5
2022-05-11,94.0,5
2022-05-12,90.0,5
2022-05-13,76.0,5
2022-05-14,117.0,5
2022-05-15,125.0,5
2022-05-16,113.0,5
2022-05-17,106.0,5
2022-05-18,115.0,5
2022-05-19,147.0,5
2022-05-20,109.0,5
2022-05-21,102.0,5
2022-05-22,108.0,5
2022-05-23,115.0,5
2022-05-24,109.0,5
2022-05-25,130.0,5
2022-05-26,106.0,5
2022-05-27,138.0,5
2022-05-28,125.0,5
2022-05-29,87.0,5
2022-05-30,93.0,5
2022-05-31,117.0,5
2022-06-01,121.0,6
2022-06-02,79.0,6
2022-06-03,99.0,6
2022-06-04,122.0,6
2022-06-05,126.0,6
2022-06-06,117.0,6
2022-06-07,107.0,6
2022-06-08,100.0,6
2022-06-09,85.0,6
2022-06-10,100.0,6
2022-06-11,102.0,6
2022-06-12,125.0,6
2022-06-13,105.0,6
2022-06-14,123.0,6
2022-06-15,152.0,6
2022-06-16,138.0,6
2022-06-17,134.0,6
2022-06-18,132.0,6
2022-06-19,135.0,6
2022-06-20,147.0,6
2022-06-21,131.0,6
2022-06-22,136.0,6
2022-06-23,130.0,6
2022-06-24,155.0,6
2022-06-25,139.0,6
2022-06-26,122.0,6
2022-06-27,117.0,6
2022-06-28,106.0,6
2022-06-29,93.0,6
2022-06-30,123.0,6
2022-07-01,142.0,7
2022-07-02,160.0,7
2022-07-03,125.0,7
2022-07-04,77.0,7
2022-07-05,106.0,7
2022-07-06,89.0,7
2022-07-07,113.0,7
2022-07-08,108.0,7
2022-07-09,98.0,7
2022-07-10,110.0,7
2022-07-11,140.0,7
2022-07-12,135.0,7
2022-07-13,127.0,7
2022-07-14,108.0,7
2022-07-15,88.0,7
2022-07-16,69.0,7
2022-07-17,98.0,7
2022-07-18,147.0,7
2022-07-19,132.0,7
2022-07-20,144.0,7
2022-07-21,137.0,7
2022-07-22,131.0,7
2022-07-23,90.0,7
2022-07-24,106.0,7
2022-07-25,97.0,7
2022-07-26,112.0,7
2022-07-27,141.0,7
2022-07-28,139.0,7
2022-07-29,103.0,7
2022-07-30,112.0,7
2022-07-31,139.0,7
2022-08-01,87.0,8
2022-08-02,148.0,8
2022-08-03,138.0,8
2022-08-04,89.0,8
2022-08-05,71.0,8
2022-08-06,105.0,8
2022-08-07,130.0,8
2022-08-08,95.0,8
2022-08-09,89.0,8
2022-08-10,120.0,8
2022-08-11,120.0,8
2022-08-12,103.0,8
2022-08-13,102.0,8
2022-08-14,105.0,8
2022-08-15,97.0,8
2022-08-16,114.0,8
2022-08-17,103.0,8
2022-08-18,97.0,8
2022-08-19,98.0,8
2022-08-20,119.0,8
2022-08-21,119.0,8
2022-08-22,115.0,8
2022-08-23,148.0,8
2022-08-24,144.0,8
2022-08-25,126.0,8
2022-08-26,158.0,8
2022-08-27,145.0,8
2022-08-28,122.0,8
2022-08-29,125.0,8
2022-08-30,123.0,8
2022-08-31,148.0,8
2022-09-01,110.0,9
2022-09-02,128.0,9
2022-09-03,97.0,9
2022-09-04,57.0,9
2022-09-05,132.0,9
2022-09-06,105.0,9
2022-09-07,110.0,9
2022-09-08,128.0,9
2022-09-09,138.0,9
2022-09-10,125.0,9
2022-09-11,113.0,9
